10000000 100000
1449932 7787270 51019
912262 3955862 23367
720355 6300425 44414
4058050 4109759 82390
630827 1992079 83163
4595878 6289869 37323
6117634 7440834 53818
3577465 5755968 89549
611287 4779893 49153
6118450 8290500 9271
6328120 8594121 59202
695492 2549982 71464
1366758 8035211 8170
5476516 5979625 82571
2378367 9984946 13398
4580824 5961530 19618
3214809 9215205 60451
1487128 5985376 37916
574925 6267020 65554
2340430 4901822 56053
749701 1229941 50173
1925432 3125256 16506
2476995 6413072 83263
972971 2937594 59778
3351338 3520166 61075
1829219 7249916 41898
1044424 7269534 73058
4729986 9546151 60185
121075 8284254 27205
2449808 2461505 29026
5727557 7422213 75318
988738 1369164 17102
7105244 7782235 94096
719829 7104859 67066
2580989 6756346 18403
4006261 8042064 47622
600315 3792146 8397
1038483 6373373 54547
3633559 9322736 91973
4288895 7160764 69829
1711107 8106142 97386
281460 5216196 66549
2321439 6898562 65136
5992658 9426297 1316
2007285 8576077 57661
2565701 4510832 80273
2274806 3166015 88770
1083203 9539387 27253
1954102 5689297 66340
2946076 5366412 55235
3472553 8915905 82693
3129643 3754013 98889
3168926 8712545 36679
1677936 4594033 79328
254012 1195349 2964
4764843 7069362 68664
6949635 7039649 51030
639203 3138405 90417
2593305 2882010 96065
1948351 8055732 62477
5303586 9487988 35029
5133983 5402631 5393
3846527 8201520 74319
5838200 8440559 52254
2152259 7933880 22617
2036844 9221620 3811
8687606 8705509 59811
1056539 1826010 99014
5463308 7224372 8670
8075726 9172722 80753
3538203 4476307 68740
2395289 4989584 2722
194978 596809 65600
8569297 8951360 22510
1137903 6885239 74768
1438434 3960520 96387
143942 4064331 83992
3716833 3724143 26354
1696492 6539509 50725
4464531 9772217 39798
445284 3310419 32456
5914024 8300003 27744
1011332 9033099 24552
5998699 9580628 92263
3234882 6437562 93853
6512330 9711753 32287
6292435 8325070 92580
2532929 8825414 9412
3668120 9072437 22256
3218845 3536967 94472
6498602 6974995 21243
2412626 5207451 21245
3962076 5835196 32576
2477126 9576100 29555
4784716 8914687 80788
5427017 6878569 92540
2927208 6268438 1326
5093851 9119789 34255
1545553 8761971 23043
